        HGHT       PRES       TEMP       RELH        DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 744.800000  19.726007   8.850799  -14.314262 181.949742   4.571046 318.625441   1.702895
 3204.946289 700.000000  12.249994  10.000000  -18.572463 156.513905   3.560918 316.050091   1.268620
 3818.189209 650.000000   6.550012  13.000000  -19.983109 166.373005   4.620712 316.372893   1.210226
 4467.116699 600.000000   0.850000  15.000000  -22.939410 179.407306   5.637902 317.102237   1.012313
 5158.966797 550.000000  -3.549994   2.000000  -46.554547 224.506934   7.986813 319.871958   0.106459
 5904.444336 500.000000  -8.449988   0.100000  -72.873688 214.766759   6.886399 322.736838   0.000000
 6711.746094 450.000000 -14.250006   3.000000  -50.362296 222.121631   4.927340 325.321871   0.084515
 7594.198242 400.000000 -20.549994  20.000000  -37.725264 186.483074   8.608650 328.279830   0.373138
 8567.229492 350.000000 -28.049994  49.000000  -35.486241 194.036243  12.022976 330.932836   0.533800
 9652.300781 300.000000 -37.250006  58.000000  -42.501896 245.897765   8.092739 332.867390   0.302359
10884.984375 250.000000 -46.650000  64.000000  -50.590766 249.717440   9.533531 336.711046   0.147815
11577.268555 225.000000 -50.650000  51.000000  -56.301878 236.309931   2.102757 340.883370   0.083163
12341.160156 200.000000 -52.650000  15.000000  -67.466688  55.619656   4.475424 349.392851   0.021778
13196.009766 175.000000 -56.150000  17.000000  -69.572025  34.545917   6.136423 357.232409   0.018512
14163.940430 150.000000 -61.450003  34.000000  -69.397975  34.816857   5.209376 364.215775   0.022134
15279.330078 125.000000 -66.349997  45.000000  -71.988842  47.187036   9.725617 374.829943   0.018284
16618.039062 100.000000 -69.349997  32.000000  -77.026951  35.209103  12.610194 393.735149   0.010695
18755.640625  70.000000 -66.549994  10.000000  -81.855407   4.242416  13.664882 442.010199   0.007059
20811.939453  50.000000 -62.750006   3.000000  -85.954678  12.875002  13.958949 495.610275   0.004943
23986.720703  30.000000 -57.549994   0.100000 -100.290227 345.795364   6.416997 587.749259   0.000000
