        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 741.700000   2.986017  12.074864 -23.667266  31.387714   6.307973 300.772252   0.767589
 3160.535156 700.000000   7.050012   8.000000 -25.107132  33.518009   7.181758 310.291665   0.715149
 3764.500244 650.000000   3.149988  11.000000 -24.581280  31.464143   6.107997 312.527074   0.807275
 4406.242676 600.000000  -1.949988  15.000000 -25.222524  41.520081   4.076378 313.861790   0.825161
 5089.791504 550.000000  -7.750006  19.000000 -27.431200 108.283373   4.647502 314.888775   0.735537
 5823.337402 500.000000 -12.850012  22.000000 -30.181190 113.825714   9.095448 317.372086   0.625646
 6618.008789 450.000000 -18.250006  22.000000 -34.807082 109.427143   9.585340 320.295654   0.444364
 7486.672363 400.000000 -24.250006  12.000000 -45.642753 107.397513  12.223170 323.471281   0.161596
 8446.437500 350.000000 -31.150000   6.000000 -57.053012 126.027373  10.576504 326.747223   0.048796
 9520.920898 300.000000 -38.750006   7.000000 -61.758888 118.705953   9.308898 330.750811   0.031306
10750.853516 250.000000 -46.250006  10.000000 -65.089257 165.579227   7.025348 337.305670   0.024138
11444.876953 225.000000 -49.750006  15.000000 -65.003245 158.629378   9.602651 342.262215   0.027128
12208.641602 200.000000 -53.549994  21.000000 -65.796553 167.574058  11.744721 347.966768   0.027401
13056.349609 175.000000 -59.349997  37.000000 -66.867605 215.537678  13.378336 351.964470   0.027033
14008.259766 150.000000 -64.250006  62.000000 -67.750469 220.601295  10.753676 359.398555   0.027903
15116.799805 125.000000 -67.349997  54.000000 -71.684418 198.996654   6.270718 373.017419   0.019115
16456.269531 100.000000 -68.549994  28.000000 -77.159240 240.280107   5.528963 395.280729   0.010478
18577.109375  70.000000 -69.250006  16.000000 -81.287268 134.708174   8.096591 436.233660   0.007749
20611.878906  50.000000 -64.049994   4.000000 -85.287216 199.303000   4.057794 492.548073   0.005547
23773.640625  30.000000 -57.950003   0.900000 -89.275373 187.613790  19.220656 586.658790   0.004575
