height(mAGL) detrain(unitless)
50 0.0170
150 0.0195
250 0.0245
350 0.0272
450 0.0297
550 0.0323
650 0.0346
750 0.0358
850 0.0359
950 0.0359
1050 0.0355
1150 0.0350
1250 0.0345
1350 0.0340
1450 0.0335
1550 0.0329
1650 0.0323
1750 0.0316
1850 0.0307
1950 0.0295
2050 0.0283
2150 0.0270
2250 0.0259
2350 0.0247
2450 0.0235
2550 0.0219
2650 0.0202
2750 0.0187
2850 0.0172
2950 0.0158
3050 0.0144
3150 0.0132
3250 0.0122
3350 0.0112
3450 0.0103
3550 0.0095
3650 0.0087
3750 0.0079
3850 0.0074
3950 0.0072
4050 0.0069
4150 0.0066
4250 0.0062
4350 0.0058
4450 0.0053
4550 0.0048
4650 0.0043
4750 0.0037
4850 0.0031
4950 0.0025
5050 0.0018
5150 0.0011
5250 0.0005
5350 0.0003
5450 0.0000
5550 0.0000
5650 0.0000
5750 0.0000
5850 0.0000
5950 0.0000
6050 0.0000
6150 0.0000
6250 0.0000
6350 0.0000
6450 0.0000
6550 0.0000
6650 0.0000
6750 0.0000
6850 0.0000
6950 0.0000
7050 0.0000
7150 0.0000
7250 0.0000
7350 0.0000
7450 0.0000
7550 0.0000
7650 0.0000
7750 0.0000
7850 0.0000
7950 0.0000
8050 0.0000
8150 0.0000
8250 0.0000
8350 0.0000
8450 0.0000
8550 0.0000
8650 0.0000
8750 0.0000
8850 0.0000
8950 0.0000
9050 0.0000
9150 0.0000
9250 0.0000
9350 0.0000
9450 0.0000
9550 0.0000
9650 0.0000
9750 0.0000
9850 0.0000
9950 0.0000
10050 0.0000
10150 0.0000
10250 0.0000
10350 0.0000
10450 0.0000
10550 0.0000
10650 0.0000
10750 0.0000
10850 0.0000
10950 0.0000
11050 0.0000
11150 0.0000
11250 0.0000
11350 0.0000
11450 0.0000
11550 0.0000
11650 0.0000
11750 0.0000
11850 0.0000
11950 0.0000
12050 0.0000
12150 0.0000
12250 0.0000
12350 0.0000
12450 0.0000
12550 0.0000
12650 0.0000
12750 0.0000
12850 0.0000
12950 0.0000
13050 0.0000
13150 0.0000
13250 0.0000
13350 0.0000
13450 0.0000
13550 0.0000
13650 0.0000
13750 0.0000
13850 0.0000
13950 0.0000
14050 0.0000
14150 0.0000
14250 0.0000
14350 0.0000
14450 0.0000
14550 0.0000
14650 0.0000
14750 0.0000
14850 0.0000
14950 0.0000
15050 0.0000
15150 0.0000
15250 0.0000
15350 0.0000
15450 0.0000
15550 0.0000
15650 0.0000
15750 0.0000
15850 0.0000
15950 0.0000
16050 0.0000
16150 0.0000
16250 0.0000
16350 0.0000
16450 0.0000
16550 0.0000
16650 0.0000
16750 0.0000
16850 0.0000
16950 0.0000
17050 0.0000
17150 0.0000
17250 0.0000
17350 0.0000
17450 0.0000
17550 0.0000
17650 0.0000
17750 0.0000
17850 0.0000
17950 0.0000
18050 0.0000
18150 0.0000
18250 0.0000
18350 0.0000
18450 0.0000
18550 0.0000
18650 0.0000
18750 0.0000
18850 0.0000
18950 0.0000
19050 0.0000
19150 0.0000
19250 0.0000
19350 0.0000
19450 0.0000
19550 0.0000
19650 0.0000
19750 0.0000
19850 0.0000
19950 0.0000
