height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 859.9973 27.5820 21.9608 0.3089 4.2643 19.8652 0.0000 0.0000 0.0000 -12.2718 1.1862 -0.0369 295.2608 294.9519
0.0500 855.6113 27.0641 21.1879 -3.4464 4.2641 19.0213 0.0000 0.0000 0.0000 -12.2718 1.1886 -0.0369 294.4879 297.9344
0.1500 846.5750 26.3082 20.2675 -7.9085 4.2622 18.1417 0.0000 0.0000 0.0000 -17.1839 1.1919 -0.0309 293.5675 301.4760
0.2500 837.0692 25.5021 19.3523 -8.0633 4.2600 17.3145 0.0000 0.0000 0.0000 -17.5495 1.1955 -0.0335 292.6523 300.7155
0.3500 827.5635 24.6500 18.4430 -8.2121 4.2574 16.5275 0.0000 0.0000 0.0000 -17.9322 1.1994 -0.0344 291.7430 299.9551
0.4500 818.2379 23.7456 17.5396 -8.3694 4.2549 15.7753 0.0000 0.0000 0.0000 -18.3407 1.2036 -0.0351 290.8396 299.2090
0.5500 808.9786 22.7841 16.6429 -8.5255 4.2527 15.0591 0.0000 0.0000 0.0000 -18.7426 1.2082 -0.0354 289.9428 298.4683
0.6500 799.7254 21.7613 15.7534 -8.6736 4.2508 14.3789 0.0000 0.0000 0.0000 -19.1027 1.2132 -0.0353 289.0534 297.7269
0.7500 790.6675 20.6707 14.8723 -8.7938 4.2489 13.7304 0.0000 0.0000 0.0000 -19.4189 1.2186 -0.0351 288.1722 296.9661
0.8500 781.6095 19.5027 14.0006 -8.9046 4.2472 13.1165 0.0000 0.0000 0.0000 -19.6898 1.2245 -0.0347 287.3006 296.2052
0.9500 772.6204 18.2495 13.1396 -8.9820 4.2457 12.5350 0.0000 0.0000 0.0000 -19.8529 1.2310 -0.0338 286.4395 295.4216
1.0500 763.8176 16.8993 12.2904 -8.9861 4.2447 11.9832 0.0000 0.0000 0.0000 -19.9243 1.2383 -0.0326 285.5904 294.5765
1.1500 755.0148 15.4285 11.4555 -8.9759 4.2442 11.4643 0.0000 0.0000 0.0000 -19.9555 1.2465 -0.0310 284.7555 293.7314
1.2500 746.3408 13.8001 10.6379 -8.9462 4.2443 10.9766 0.0000 0.0000 0.0000 -19.9359 1.2558 -0.0286 283.9379 292.8841
1.3500 737.8375 11.9387 9.8430 -8.8907 4.2452 10.5213 0.0000 0.0000 0.0000 -19.8310 1.2665 -0.0253 283.1430 292.0338
1.4500 729.3340 9.5546 9.0963 -8.7871 4.2469 10.1165 0.0000 0.0000 0.0000 -19.4292 1.2807 -0.0205 282.3963 291.1834
1.5500 720.8307 6.1569 8.5609 -8.4721 4.2472 9.8683 0.0000 0.0000 0.0000 -17.9688 1.3140 -0.0130 281.8609 290.3331
1.6500 712.3272 2.2494 8.7495 -7.4333 4.2357 10.1183 0.0000 0.0000 0.0000 -14.5371 1.4188 -0.0044 282.0494 289.4827
1.7500 703.8239 -0.4647 9.9529 -5.3795 4.2017 11.1218 0.0000 0.0000 0.0000 -9.6275 1.6209 -0.0008 283.2529 288.6324
